prompt,completion
cultivated field,"田 (rice field) +  (fireleft)
★☆☆☆☆
9 strokes
SOLODUHSUF
Onyomi
Mnemonic
(SIGH) ok, look: They burn the field to clear it, then they plant crops. Whatever.

Kunyomi
( XXX ) はたけ	SUFFIX meaning, ""field of a particular crop"". like いちご はたけ、(field of strawberries) or すいか はたけ (field of watermelons). You don't need an article like 'no' or 'na'.
.You know what? It's weird that we don't have a word for this in English."
stomach,"田 (rice field) + 月 (moon/organ)
★★☆☆☆
9 strokes

Onyomi
Mnemonic
When I eat rice from the field, I keep it in the organ called the stomach.

Kunyomi
い	stomach
★★☆☆☆
Lookalikes
Meaning	Hint	Radical
畳	tatami mat	ABE'S HAT	
胃	stomach	ORGAN	月
鼻	nose	YOURSELF	自
ABE'S HAT is as big as a tatami mat!

The stomach is an ORGAN.

Your nose belongs to YOURSELF."
put/go in,"Onyomi
NYUU	
Mnemonic
Unlike the lookalike 'person' kanji (人）, the top of 入　bends left, so you can say,
'I take my NEW axe and put it in your left side, you bourgeois pig!!!! '

Kunyomi
( に / を ) い＊れる	I put it in (I put the dog in the doghouse)
★★★★★
( に / が ) はい＊る	it goes in (The dog goes in the doghouse)
★★★★★
Jukugo
入り口いりぐち	
entrance ★★★★☆ NOKURI
入 (put/go in) + 口 (mouth) = 入り口 (entrance)

entrance (often shortened to 入口）

に 入院にゅういん する	
check in hospital ★★★☆☆
入 (put/go in) + 院 (institution) = 入院 (check in hospital)

check into the hospital - not for a simple exam, but like you have to stay there at least one night, you're too sick to leave.

に 入学にゅうがく	
to start school at a new school ★★☆☆☆
入 (put/go in) + 学 (knowledge) = 入学 (to start school at a new school)

入館料にゅうかんりょう	
admission fee ★☆☆☆☆ NP
入 (put/go in) + 館 (big hall) + 料 (ingredients / fees) = 入館料 (admission fee)

Lookalikes
Meaning	Hint	Radical
入	put/go in	TOP FACES LEFT	
人	person	TOP FACES RIGHT	
The top of 'put in' faces left and - at least in larger fonts - the top little yoink of 'person' faces right.

That's because most people are RIGHT-wing bastards, and the bullets of the LEFTIST, glorious people's revolution will enter the LEFT side of their heads. !Viva Mao!

Used In
込
Synonyms
assumption
期待    予想    前提    先入観   
data entry
入力    記入    登録   
deliver
配達    配る    納める    運ぶ    郵送    納入   
depression
憂鬱    落ち込む    気分がしずむ    きが滅入る    陰気    ふてくされる うかない
invade
侵攻（進攻）    侵入    侵略   
judge someone
偏見    判断    先入観    判決    裁く    審査   
salary, wages
給料    給与    収入   
stab
貫く    突く    刺す    挿す    挿入   "
person,"In most fonts, the tippy-top leans to the RIGHT, like this :

That's how you tell 人 apart from　入, which leans to the LEFT.
Mutants
	personleft
Onyomi
NIN, JIN	
NINjas wear JEANS on casual friday. It is kind of awkward at first, but you'll get used to it.

Mnemonic
Kunyomi
ひと	person
★★★★★
Jukugo
xxx人じん	
person from xxx ★★★★★ KUN ONSUF

SUFFIX meaning 'person from XXX country.' AmerikaJIN, FranceJIN, etc.

人気にんき	
famous ★★★★☆
人 (person) + 気 (mood) = 人気 (famous)

famous - usually used like this: 人気　が　ある！

人間にんげん	
human ★★★★☆ FP
人 (person) + 間 (a period of time) = 人間 (human)

人生じんせい	
life (in general) ★★★☆☆
人 (person) + 生 (life / birth) = 人生 (life (in general))

Life, as in someone's entire life, or life in general:. ""He lived a quiet life."" ""Life is a bitch."" ""Life span.""

名人めいじん	
an expert ★★★☆☆
名 (name, famous) + 人 (person) = 名人 (an expert)

大人おとな	
adult ★★★☆☆ FP
大 (big) + 人 (person) = 大人 (adult)

adult, as opposed to minor, not as opposed to 'with clothes on.'

人口じんこう	
population ★★☆☆☆
人 (person) + 口 (mouth) = 人口 (population)

目上の人めうえ のひと	
higher person ★☆☆☆☆ KUNKUN
目 (eye) + 上 (above) + 人 (person) = 目上の人 (higher person)

someone who out-ranks you - at work, school, or in society.

人食いひとくい xxx	
a man-eating XXX. ★☆☆☆☆
人 (person) + 食 (eat) = 人食い (a man-eating XXX.)

Lookalikes
Meaning	Hint	Radical
入	put/go in	TOP FACES LEFT	
人	person	TOP FACES RIGHT	
The top of 'put in' faces left and - at least in larger fonts - the top little yoink of 'person' faces right.

That's because most people are RIGHT-wing bastards, and the bullets of the LEFTIST, glorious people's revolution will enter the LEFT side of their heads. !Viva Mao!

Used In
内 何 信 化 肉 停 夜 仏 位 億 伴 係 仕 促 作 体 休 保 伏 倹 囚 個 任 住 侮 仲 偵 側 価 侵 欠 備 仮 倍 優 宿 催 儀 傘 偏 倫 伺 付 侍 働 俳 座 件 傷 像 伝 例 便 僚 伸 偶 僕 俺 仰 俗 供 偉 使 他 僧 償 似 偽 卒 火 久 代 依 候 修 低 行 倒 値 健   膝 借
Synonyms
bureaucrat
官僚    役人   
expert
玄人    達人    名人   
friend
友達    友人   
girl, woman, female
女性    女の人    嬢    乙女    女の子    女子   
human
人類    人情    人間   
life
人生    命    生命   
man-made
人工    人造   
novice
素人    初心者    未熟   
old person
年寄り    老人    年をとった    年輩   
one person
一人    独り   
plurals
~等    あいつ等    彼等    奴等    達    仲間達    人達    子供達   
popular
人気がある    もてる ちやほや
race or ethnic group
人種    民族   
soldier
軍人    兵士   "
what?!?,"Onyomi
KA, but you don't need to learn it.	
Mnemonic
When you say "" WHAAT????"", you are asking that person if what they just said is really possible.

Kunyomi
なに	what
★★★★★
Jukugo
何時なんじ	
what time is it? ★★★★★
何 (what?!?) + 時 (time) = 何時 (what time is it?)

何とかなんとか xxx	
something like XXX ★★★☆☆

何だコイツなんだこいつ	
THE FUCK IS YOUR PROBLEM??? ★★☆☆☆ ABU

幾何学きかがく	
geometry ★☆☆☆☆ FRFP
幾 (how much?) + 何 (what?!?) + 学 (knowledge) = 幾何学 (geometry)

geometry (I like this because it seems that even the Chinese sages who made up this word were confused by geometry. It's like 'the science of what the fuck??')

Lookalikes
Meaning	Hint	Radical
何	what?!?	MOUTH	口
伺	formal visit / question	HITLER	
You said you were going to pay a formal visit to Herr HITLER.

I opened my MOUTH and said ""WHAAAAT??"""
believe,"Onyomi
SHIN	
Mnemonic
If they've got a SHINy halo, it's safe to believe what that person has to say .

Kunyomi
しん*じる	believe
★★★★★
Jukugo
自信じしん	
self-confidence ★★★★☆
自 (my own) + 信 (believe) = 自信 (self-confidence)

信号しんごう	
signal ★★★★☆
信 (believe) + 号 (ID number) = 信号 (signal)

signal, i.e. traffic signal

迷信めいしん	
superstition ★★★☆☆
迷 (perplexed) + 信 (believe) = 迷信 (superstition)

Synonyms
believe in
信じる    信仰   "
transform," (personleft) +  (heel)
★★★★☆
4 strokes
SUF
You'll often see 化 as a suffix, meaning ""xxx - ization."" For instance, 機械化(きかいか）means ""the mechanization of society. The industrial revolution."" Most of these words are not worth learning, but there's a LOT of them, so at least learn the suffix meaning.
Onyomi
KA	
The CAR transforms into Optimus Prime.

OK, I know he's supposed to be a truck or whatever, but I never liked that show anyway. I was fucking with Papa Smurf and Raydeen and shit.

Mnemonic
The witch transformed that person into a giant heel.

Kunyomi
( が/に ) ば＊ける	transform - this is ONLY used in the context of a person changing to a ghost, or a curse transforming a person into a werewolf. In other words, it is not used that often.
★☆☆☆☆
Jukugo
変化へんか する	
transformation, change ★★★★★
変 (change) + 化 (transform) = 変化 (transformation, change)

文化ぶんか	
culture ★★★★★
文 (culture/ sentence) + 化 (transform) = 文化 (culture)

進化しんか	
evolution ★★☆☆☆
進 (progress) + 化 (transform) = 進化 (evolution)

機械化きかいか	
mechanization ★☆☆☆☆
機械 (machine) + 化 (transform) = 機械化 (mechanization )

the mechanization of a society or of an industry.

Used In
花 靴 傾 貨
Synonyms
become
成る    化す   
feeble
軟弱    よわい か細い    衰弱    枯れる    衰    悪化する    廃れる   
stiffen
硬くなる    固める    硬直する    硬化   "
flower," (flowertop) + 化 (transform) Same-ON
★★★★★
7 strokes
DUPEPNMR
Mutants
	flowertop
Onyomi
KA	
Mnemonic
You can think of the top part as the bottom of your nose, with 2 little puffs of pollen going in as you smell the flower.

the Wizard transforms your CAR into a flower. (Actually the wizard's kind of a hater.)

Kunyomi
はな	flower
★★★★★
Jukugo
花見はなみ	
sakura-viewing party ★★★☆☆ KUNKUN
花 (flower) + 見 (look) = 花見 (sakura-viewing party)

cherry-blossom looking-at-and-getting-bombed parties

花火はなび	
fireworks ★★☆☆☆ KUNKUN
花 (flower) + 火 (fire) = 花火 (fireworks)

Lookalikes
Meaning	Hint	Radical
花	flower	POLLEN	
死	death	EVENING	夕
For the sake of this mnemonic, let's call the 2 vertical strokes on the flower's top radical . . . 2 spores of pollen.

The poison flower has POLLEN that you're breathing,

and then it makes you die in the EVENING."
suffer,"Onyomi
KU	
as in, 'My KUCHI ( 口 ) was suffering from too much candy. '

Mnemonic
The old flower was suffering : wilting, turning brown, being eaten by aphids.

Kunyomi
にが*い	bitter taste ー medicine, okra. Can also be used figuratively - the bitter taste of defeat.
★★★☆☆
( が ) くる＊しい	adjective describing mental suffering - which is caused BY 痛み　(physical pain). i.e. 'My throat is 痛い、 so talking or swallowing is 苦しい’
★★★☆☆
( ｘｘｘに ) くる＊しむ	to hurt or suffer　from XXX
★★★☆☆
Jukugo
苦労くろう	
hardships ★★★☆☆
苦 (suffer) + 労 (labor) = 苦労 (hardships)

xxxは 苦手にがて	
this is not my thing! ★★★☆☆ KUNKUN
苦 (suffer) + 手 (hand) = 苦手 (this is not my thing!)

this has 2 meanings. One is ""I'm not good at this"" and the second is ""I don't like this"" Clever Japanese!

苦情くじょう	
a grievance or complaint ☆☆☆☆☆
苦 (suffer) + 情 (emotion) = 苦情 (a grievance or complaint )

Synonyms
bad point
苦手    欠点    弱点    欠陥   
bad-tasting
まずい 酸っぱい    苦い    渋い   
complaint
愚痴    文句    クレイム 苦情   
pain or suffering
痛い    苦しい    悲しむ    苦しむ   "
grass,"Onyomi
SOU	
Mnemonic
The flowers of the grass bloom SO early in the sun.

Kunyomi
くさ	grass - tall, uncut grass.(BOOBOO: In practice, though, most people use　芝生 (しばふ）)"
luggage," (flowertop) Same-ON + 何 (what?!?)
★★☆☆☆
10 strokes
SIDEKICKCOCK
COCK: 99% of the time the onyomi is KA- but the one jukugo that anyone ever fuckin' actually USES, the onyomi is NI.
Onyomi
KA	
Mnemonic
What kind of idiot puts a flower in the luggage in their CAR??? It'll get crushed for sure!

Jukugo
荷物にもつ	
luggage ★★★★☆ FP
荷 (luggage) + 物 (animal / thing) = 荷物 (luggage)

luggage or belongings. Also, cargo (if you're a ship's captain). Also, emotional baggage, or a metaphorical burden"
George Michael's Moustache,
the inside,"Onyomi
NAI	
Mnemonic
It's NICE to be a person trapped inside George Michael's stache?

Kunyomi
うち	inside a thing, OR inside of a certain time frame(eat it while it's hot! 温かい内に食べて!) Also, it's a slang term for 'us.'
★★★★★
Jukugo
内容ないよう	
contents ★★★★☆
内 (the inside) + 容 (appearance) = 内容 (contents)

the contents (of a box or a book or whatever)

案内あんない する	
guide ★★★★☆
案 (guide/proposal) + 内 (the inside) = 案内 (guide)

a guide - usually in the form of a map, or an information kiosk. Also if a clerk shows you around a store pointing out things you might want to buy, that 's annai.

xxx 以内いない	
within ★★★★☆
以 (compared to) + 内 (the inside) = 以内 (within)

within xxx (as in, ""I'll be there within 10 minutes!"")

内緒ないしょ	
confidential ★★★☆☆ KIDS
内 (the inside) + 緒 (together) = 内緒 (confidential)

usually defined as 'confidential,' but that makes it sound more serious than it is - like a spy document or something. Actually, 内緒 is kind of a kids' word. ""Keep this information between us two."""
meat,"Onyomi
NIKU	
Mnemonic
George has got two men's meat trapped in his 'stache. He particularly NEEds COOlio's meat. Of course it might just be easier to think of it as 2 pork chops, but I prefer the more lurid imagery.

Kunyomi
にく	meat, muscle LAZY
★★★★☆
Jukugo
筋肉きんにく	
muscle ★★★☆☆
筋 (muscle) + 肉 (meat) = 筋肉 (muscle)

皮肉ひにく	
sarcasm/irony ★★★☆☆ SARC
皮 (skin) + 肉 (meat) = 皮肉 (sarcasm/irony)

sarcasm OR irony. Japanese DO have a sense of sarcasm,(for example, calling the traditional chicken-and-scrambled-eggs dish ""parents and child"") but it is so different than the Western say-the-opposite-of-what-you-mean style that Japanese don't have a word for western sarc. So they seem to have taken their word for Irony and pressed it into service for sarcasm as well.

豚肉ぶたにく	
pork ★★★☆☆ KUNKUN
豚 (pig) + 肉 (meat) = 豚肉 (pork )

焼肉やきにく	
roast meat, usually beef. ★★☆☆☆ NOKURI
焼 (roast / grill) + 肉 (meat) = 焼肉 (roast meat, usually beef.)

牛肉ぎゅうにく	
beef ★★☆☆☆
牛 (cow) + 肉 (meat) = 牛肉 (beef)"
yen/circle,"Onyomi
EN	
This one consists of George Michael's Moustache, plus 2 boxes, which we'll call his gleaming front teeth.

If you ENjoyed George Michael's Moustache, please tip him one yen.

In response, he smiles, you can see his two front teeth peeking at you from under the 'stache.

Mnemonic
Kunyomi
まる*い	circircular　(not used! People use the OTHER まるい　（丸い） instead)
★☆☆☆☆
えん	yen!
★★★★★
Jukugo
十円じゅうえん	
ten yen. ★★★★★
十 (ten) + 円 (yen/circle) = 十円 (ten yen.)

七千円ななせんえん	
７，０００ yen. ★★★★★
七 (seven) + 千 (thousand) + 円 (yen/circle) = 七千円 (７，０００ yen.)

百円ひゃくえん	
１００ yen ★★★★★
百 (hundred) + 円 (yen/circle) = 百円 (１００ yen)

一億円いちおくえん	
100,000,000 YEN ★★☆☆☆
一 (one) + 億 (a hundred million) + 円 (yen/circle) = 一億円 (100,000,000 YEN)

100,000,000 YEN,　 AKA what Maneki-neko wants!"
small city (dagger　radical),"JERK RADICAL ALERT: the kanji means small city, but I have arbitrarily decided that the radical means dagger. Why would I do that? The following math equation should explain my decision with utmost logic:
市=  > 
Onyomi
SHI	
Mnemonic
Since SHE lives in a small city, she carries a dagger for protection.

Jukugo
市長しちょう	
mayor ★★☆☆☆
市 (small city) + 長 (long / boss) = 市長 (mayor)

市民しみん	
citizens of a city ★★☆☆☆
市 (small city) + 民 (folk) = 市民 (citizens of a city)

xxx 市し	
xxx-city ★☆☆☆☆ SUF

Suffix meaning, ""xxx City""

株式市場かぶしき しじょう	
stock market ★☆☆☆☆ NEO
株式 (stocks) + 市 (small city) + 場 (place) = 株式市場 (stock market)

株式（stocks)＋地場(marketplace)＝the stock market！"
lung,"肺 lung
月 (moon/organ) + 市 (small city/dagger　radical)
★★☆☆☆
9 strokes
LAZYSOLO
basically SOLO unless you are a doctor
Onyomi
HAI	
Mnemonic
Will I thrust a dagger into your lung-organs? HAI!

Kunyomi
はい	lung"
older sister,"姉 older sister
女 (woman) + 市 (small city/dagger　radical)
★★★☆☆
8 strokes
Onyomi
SHI	
SHE's my older sister.

Mnemonic
My older sister is a woman with a dagger!! (she's kind of a すけばん！）

Kunyomi
おねえさん	someone else's older sister- or, if you're a sexist douche, you can use it about any young woman, in the sense of 'hey sweetheart, bring me more tea, chop chop!' (hence the ABU tag) ABU
★★★★☆
あね	my older sister
★★★☆☆
Jukugo
お姉ちゃんおねえちゃん	
hey sweetheart! ★★★☆☆ ABU

a disrespectful way for a guy to yell at a lady he doesn't know. Kind of like, 'Hey sweetheart, go make me some tea!'

お 姉妹しまい	
sisters ★★★☆☆
姉 (older sister) + 妹 (little sister) = 姉妹 (sisters)"
eye,"Winky winky!!!!
Onyomi
MOKU	
It's MORE COOL if you wear sunglasses over your eyes.

Mnemonic
Kunyomi
め	eye
★★★★★
Jukugo
目的もくてき	
motive, not only for crimes. ★★★★☆
目 (eye) + 的 (motivation / '-al') = 目的 (motive, not only for crimes.)

目立つめだつ	
to stand out in a crowd. ★★★☆☆
目 (eye) + 立 (stand up) = 目立つ (to stand out in a crowd.)

XXX 番目ばんめ のYYY	
thing in a row ★★★☆☆ KUNKUNCOUNTER
番 (number) + 目 (eye) = 番目 (thing in a row)

this is a term used in counting things in a row. For instance, in English we'd say ""Second book from the right"" or ""Third shelf from the top"" in Japanese, they'd say: 2番目のbook OR 4番目のshelf.

駄目だめ	
no way! ★★★☆☆ KUNKUNKANA
駄 (bad quality) + 目 (eye) = 駄目 (no way!)

this has so many meanings: useless, bad, 'stop!' or just 'no way!'

目次もくじ	
table of contents ★★☆☆☆
目 (eye) + 次 (next) = 目次 (table of contents)

目撃者もくげきしゃ	
a witness to a crime. ☆☆☆☆☆ NP
目 (eye) + 撃 (charge) + 者 (professional) = 目撃者 (a witness to a crime.)"
dare,"目 (eye) + 日 (sun, day)
★☆☆☆☆
9 strokes
Onyomi
BOU	
You shouldn't dare to BOWL with Walter.

Mnemonic
Don't you dare look at the sun with your eye.

Kunyomi
( ｘｘｘを ) おか＊す	to risk xxx (grave danger/ your life/ your anal virginity) doing crazy shit
★☆☆☆☆
Jukugo
冒険ぼうけん	
adventure ★★★☆☆
冒 (dare) + 険 (steep / risky) = 冒険 (adventure)
"
hat,"市 (small city/dagger　radical) + 冒 (dare) Same-ON
★★★☆☆
12 strokes
SIDEKICK
Onyomi
BOU	
I wear a special BOWLing hat which I claim gives me more strikes.

Mnemonic
Wear a hat to protect yourself from danger such as daggers.

Jukugo
帽子ぼうし	
hat ★★★★☆
帽 (hat) + 子 (child) = 帽子 (hat)
"
my own,"自 my own
目 (eye) + 丶 (dot)
★★★★★
6 strokes
BETAILL PAIR
Onyomi
JI	
Mnemonic
自 is ""eye"" plus a dot, which we'll call a splinter.
JESUS said, before you make fun of the splinter in my eye, take check out the huge-ass log in YOUR OWN eye. Then he sort of muttered, ""Ass!""

Kunyomi
みずか*ら	to do something one's own self, in person
★☆☆☆☆
Jukugo
自由じゆう な	
freedom ★★★★★
自 (my own) + 由 (freedom / reason) = 自由 (freedom)

自分じぶん の	
one's own ★★★★★
自 (my own) + 分 (understand / divide / minute) = 自分 (one's own)

one's own (dog, blunt, fungus, etc.) - BOOBOO: sometimes it also is used to mean ""you"" or ""she"", as in ""She did it herself, as opposed to having others do it for her.""

自信じしん	
self-confidence ★★★★☆
自 (my own) + 信 (believe) = 自信 (self-confidence)

自衛隊じえいたい	
Japan's army ★★☆☆☆
自衛 (self-defense) + 隊 (troop) = 自衛隊 (Japan's army)

Japan's army, in English called the SDF (self-defense forces)

自業自得じごうじとく	
""I brought this on myself!"" ★☆☆☆☆
自 (my own) + 業 (business) + 得 (bargain　/ obtain) = 自業自得 (""I brought this on myself!"")
"
  beret,(top radical)
restaurant,"(beret) + 口 (mouth/small box radical) +  (George Michael's Moustache) + 丁 (nail)
★☆☆☆☆
9 strokes
SIDEKICK
Onyomi
TEI	
TAKE me to a restaurant - I'm a DINNER WHORE.

Mnemonic
The dude with the beret and the stache opens his mouth at the restaurant and bites a big ole nail. Madd lawsuits ensue!

Jukugo
ｘｘｘ 亭てい	
xxx's restaraunt ★☆☆☆☆ SUF

SUFFIX, meaning 'name of restaurant' . So you can tell ""Joe's亭"" (Joe's diner)　apart from ""Joe's本屋""　（Joe's bookstore)"
bring to a halt,"Onyomi
TEI	
Mnemonic
The police person brings a halt to the restaurant because too many people got a damn nail in their sandwitch and what the hell kind of deal is that, anyway? Imagine the pain!!

Jukugo
バス停ばすてい	
bus stop ★★☆☆☆

停止ていし する	
suspension or stoppage ★★☆☆☆ NP
停 (bring to a halt) + 止 (stop) = 停止 (suspension or stoppage)

suspension or stoppage (i.e. they cut my electricity because I didn't pay the bill). This is usually used in official announcements or bills. You wouldn't say to your friend, ""I 停止-ed watching TV.""

各駅停車かくえきていしゃ	
local train ★★☆☆☆
各 (each) + 駅 (train station) + 停 (bring to a halt) + 車 (car) = 各駅停車 (local train)

sure this is a scary and long word, but if you live here, you'll use it everyday： It means ""local train"" (literally, ""stopping at each station train"")"
graduate,"(beret) + 人 (person) + 十 (ten)
★★☆☆☆
8 strokes
SIDEKICK
Onyomi
SOTSU	
Mnemonic
Out of the ten people in class, only two people managed to graduate, and SO-TWO were issued the customary berets.

Jukugo
卒業そつぎょう する	
to graduate ★★★☆☆
卒 (graduate) + 業 (business) = 卒業 (to graduate)

Synonyms
faint
気絶する    卒倒    薄い    淡い   "
direction / method / person," (beret) + ク (katakana 'ku')
★★★★☆
4 strokes
JERKSTRONG
a big JERK - it also means METHOD and PERSON.
Although, not so bad if you look at the equivalent English: When you want to learn how to use your new toy, you do what? Read the DIRECTIONS.
Onyomi
HOU	
Mnemonic
You go in that direction of a a fine-looking HOE who is wearin' a beret!

Kunyomi
かた	two meanings:
1) method.

2) a somewhat formal, polite term for　ｐｅｒｓｏｎ (i.e. 日本の方 means 'a person from Japan') F
★★★★☆

Jukugo
xxx 方かた	
way to do xxx ★★★★★ SUF

SUFFIX meaning, 'way to do.' for instance, ギターを弾く； means 'to play the guitar.' so,ギターの弾き方； means 'the way to play the guitar.'

方法ほうほう	
method ★★★★☆
方 (direction / method / person) + 法 (law) = 方法 (method )

仕方しかた	
way to do something ★★★★☆
仕 (work) + 方 (direction / method / person) = 仕方 (way to do something)

Most often used in the negative: 'Shikata ga nai.' as in, 'fuck it.'

方向ほうこう	
direction ★★★★☆
方 (direction / method / person) + 向 (turn to face) = 方向 (direction)

一方いっぽう に	
one-sided ★★☆☆☆
一 (one) + 方 (direction / method / person) = 一方 (one-sided)

one-sided, one-way. Often used in the phrase : xxx 一方だ！ (meaning, more and more xxx - i.e. ""more and more hot"", ""more and more popular,"" etc.)

Lookalikes
Meaning	Hint	Radical
方	direction / method / person	HEAD	
万	10000	EVEN ON TOP	
方 means 'person', so naturally it has a little 'head' stiking up on top - you can think of that as the person's beret!
万 is a number, so naturally it has NO HEAD. It's EVEN on top - which makes sense because 10,000 is an even number.

Used In
訪 妨 肪 坊 遊 房 放 激 旅 敷 族 旗 施 防
Synonyms
idiom, expression
表現    慣用句    格言    ことわざ 方言    xxx弁   
on the other hand
その反面、xxx    xxx一方    他方で yyy   
point of view
立場    見方    味方    世界観    彼にして見ればxxx   
technique
xxxし方    xxxやり方    技術    技    手法    手段   
tone of voice
調子    口調    喋り方   
way to do
方法    仕方   "
10000,"一 (one/line radical) + ク (katakana 'ku')
★★★★★
3 strokes
COUNTER
Japanese count big money in units of 10,000. They don't for instance, have a word for 'million.' -- a million is actually called 100万. Which would be logical if it were written with 万-sized commas： 100,0000 . . . but it's written with rest-of-the-planet commas, like this: 1,000,000. I'm sure some asshole thought he was doing the rest of the world a favor with this compromise, but actually that just makes it more confusing for everyone. Probably it was the same motherless douche who decided to import all the on-yomi from China and get them all wrong.
Anyway.
Onyomi
MAN	
Mnemonic
You can think of this as the katakana KU (ク) plus the number one over it.
A MAN touches your KUchie with ONE finger. ten thousand times!!

Kunyomi
( 一 ) まん	10,000 LAZY
★★★★★
Jukugo
万が一まんがいち	
just in case ★★☆☆☆ NP
万 (10000) + 一 (one) = 万が一 (just in case)

just in case (literally, 'on the one-in-10,000 chance that something goes wrong')

万歳ばんざい!	
banzai! ★★☆☆☆ 1/2 KANA
万 (10000) + 歳 (years old) = 万歳 (banzai!)

Fuckin' banzai, man!!!! (literally '10,000 years', meaning, 'May the Emperor live 10,000 years!' is what you shout as you charge into battle)

万引きまんびき	
shoplift. ★☆☆☆☆ SARC
万 (10000) + 引 (pull) = 万引き (shoplift.)

Lookalikes
Meaning	Hint	Radical
方	direction / method / person	HEAD	
万	10000	EVEN ON TOP	
方 means 'person', so naturally it has a little 'head' stiking up on top - you can think of that as the person's beret!
万 is a number, so naturally it has NO HEAD. It's EVEN on top - which makes sense because 10,000 is an even number.

Used In
励
Synonyms
perhaps
たしか～ ひょっとして～ 万が一～   "
formal visit,"言 (say) + 方 (direction / method / person) Same-ON
★★☆☆☆
11 strokes
Onyomi
HOU	
Mnemonic
Go in the direction of the HOE to talk to her and visit her.

Kunyomi
たず*ねる	an important person visits another important person (an official state visit, visit the pope, etc.) NP
★★☆☆☆
おとず＊れる	to visit, like visit another country or visit a distant city or call on a friend in a far place.
☆☆☆☆☆
Jukugo
訪問ほうもん	
a formal visit ★☆☆☆☆ NP
訪 (formal visit) + 問 (question, problem) = 訪問 (a formal visit)

same as たずねる,(訪ねる）, but it's a noun.

Lookalikes
Meaning	Hint	Radical
妨	prevent	GIRL	女
訪	formal visit	TALK	言
坊	boy / monk	GROUND	土
放	release	DIRECTOR	
防	ward off	TOWN	
You prevent the GIRL to go,
From visiting and TALKING to her beau.
(because you're jealous)

The boy stands on the GROUND
Until the DIRECTOR releases the hounds.
and then he's warded away from that TOWN.

Synonyms
visit
へ伺う    に参る    を訪ねる    を訪問   "
prevent,"妨 prevent
女 (woman) + 方 (direction / method / person) Same-ON
★★☆☆☆
7 strokes
Onyomi
BOU	
Mnemonic
The stern woman prevents you from going in the direction of the BOWLing alley.

Kunyomi
さまた*げる	obstruct / hamper.
Unlike the related words 阻む (habamu) and 防ぐ (fusegu）, 妨げる carries the nuance of 'interrupt' or 'disrupt', like 'The guys at the next table are hampering our conversation,' or 'The corporate extortionist kept interrupting the shareholders' meeting.'
★☆☆☆☆

Jukugo
妨害ぼうがい	
interference ★★☆☆☆
妨 (prevent) + 害 (damage) = 妨害 (interference)

interference - a person interferes with you. (妨害 is used with people, while the related term 阻害（そがい） is used about objects）

Lookalikes
Meaning	Hint	Radical
妨	prevent	GIRL	女
訪	formal visit	TALK	言
坊	boy / monk	GROUND	土
放	release	DIRECTOR	
防	ward off	TOWN	
You prevent the GIRL to go,
From visiting and TALKING to her beau.
(because you're jealous)

The boy stands on the GROUND
Until the DIRECTOR releases the hounds.
and then he's warded away from that TOWN.

Synonyms
hinder, obstruct, put a stop to.
阻む    阻止する    障る    防ぐ    妨げる   
obstacle
阻害    妨害    支障    足手まとい   "
fatty food,"肪 fatty food
月 (moon/organ) + 方 (direction / method / person) Same-ON
★☆☆☆☆
8 strokes
SIDEKICK
肪　actually refers to the fat in food, not as in fat person.
Onyomi
BOU	
Mnemonic
Yo Mama's so fat, BOwling balls are pulled in the direction of her meat by gravity.

Jukugo
脂肪しぼう	
grease or fat ★☆☆☆☆
脂 (animal fat) + 肪 (fatty food) = 脂肪 ( grease or fat)

grease or fat (refers to both the kind used in cooking, AND the kind that makes your mama's neighbors take out earthquake insurance )

Synonyms
fat or oil
油    脂肪   "
again (crotch radical),"又 again/crotch radical
(right radical)
★★☆☆☆
2 strokes
SOLOPKJERK RADICAL
Onyomi
Mnemonic
The official meaning is ""again"" but, come on. It is clearly a crotch of someone sitting Indian-style.

Anyway, how about a mnemonic which combines both the meaning and the keyword?

""Can you show me your crotch again? That would be awesome.""

Kunyomi
また	again
★★★★☆
( xxx ) また ( はyyy )	2 meanings:
a) in other words.

b) either XXX or YYY. (XXX 又は YYY)
★★☆☆☆
"
pair,"双 pair
又 (again/crotch radical)
★☆☆☆☆
4 strokes
SIDEKICKCOCK
This one's a CLASSIC cock because there's a lot of jukugo which use the そう reading:
(双方: (both sides）、 双ロール鋳造 (twin roll casting), 双一次Z変換 (bilinear Z-transform), and so on)

. .but the only word you'll ever encounter is the one word that DOESN'T use the そう reading!

Onyomi
SOU	
You guys look SO alike, you could be a pair of twins!

Mnemonic
it looks like a pair of crotches.

QED, ne?

Jukugo
双子ふたご	
twins ★☆☆☆☆ KUNKUNFP
双 (pair) + 子 (child) = 双子 (twins)

Lookalikes
Meaning	Hint	Radical
奴	servant / dood	WOMAN	女
双	pair	2 CROTCHES	又
The WOMAN is the slave to fashion, but a a pair of CROTCHES can smoosh with passion.
Uncomfortable!"
